school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian_mat,traveltime_mat,studytime_mat,failures_mat,schoolsup_mat,famsup_mat,paid_mat,activities_mat,nursery,higher_mat,internet,romantic_mat,famrel_mat,freetime_mat,goout_mat,Dalc_mat,Walc_mat,health_mat,absences_mat,G1_mat,G2_mat,G3_mat,guardian_por,traveltime_por,studytime_por,failures_por,schoolsup_por,famsup_por,paid_por,activities_por,higher_por,romantic_por,famrel_por,freetime_por,goout_por,Dalc_por,Walc_por,health_por,absences_por,G1_por,G2_por,G3_por
GP,M,16,U,GT3,T,3,3,services,other,home,mother,1,2,0,no,no,yes,yes,yes,yes,yes,yes,4,2,3,1,2,3,2,12,13,12,father,1,3,0,no,yes,no,yes,yes,no,5,3,3,1,1,5,4,13,14,14
GP,F,16,U,LE3,A,3,3,other,services,home,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,2,3,5,1,4,3,12,11,12,11,mother,1,2,0,no,yes,no,no,yes,no,2,3,5,1,4,3,6,13,12,13
MS,F,18,U,GT3,T,3,3,services,services,other,mother,2,2,0,no,yes,no,no,yes,yes,yes,yes,4,3,2,1,3,3,0,11,11,10,mother,2,2,0,no,yes,no,no,yes,yes,4,3,2,1,3,3,6,13,12,13
GP,M,18,U,GT3,T,4,2,teacher,other,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,yes,4,3,2,1,4,5,11,12,11,11,mother,1,2,0,no,yes,no,yes,yes,yes,4,3,2,1,4,5,2,15,16,16
GP,M,15,U,GT3,T,2,3,other,other,home,mother,1,3,0,yes,no,yes,no,no,yes,yes,no,5,3,2,1,2,5,4,11,10,11,mother,1,3,0,yes,no,no,no,yes,no,5,3,2,1,2,5,2,10,9,9
GP,F,16,R,GT3,T,3,3,services,other,reputation,father,1,3,1,yes,yes,no,yes,yes,yes,yes,no,4,1,2,1,1,2,0,7,10,10,father,1,3,0,yes,yes,no,yes,yes,no,4,1,2,1,1,2,4,11,11,11
GP,M,15,R,GT3,T,2,1,health,services,reputation,mother,1,2,0,no,no,no,yes,yes,yes,yes,yes,5,4,2,1,1,5,8,9,9,9,mother,1,2,0,no,no,no,yes,yes,yes,5,4,2,1,1,5,4,10,9,10
GP,F,17,U,GT3,T,4,4,other,teacher,course,mother,1,1,0,yes,yes,no,no,yes,yes,no,yes,4,2,1,1,1,4,0,11,11,12,mother,1,1,0,yes,yes,no,no,yes,yes,4,2,1,1,1,4,0,13,13,13
GP,F,16,U,GT3,A,3,3,other,other,course,other,2,1,2,no,yes,no,yes,no,yes,yes,yes,4,3,2,1,1,5,0,4,0,0,other,2,1,0,no,yes,no,yes,yes,yes,4,3,2,1,1,5,4,9,9,10
GP,M,16,U,LE3,T,4,2,teacher,other,course,mother,1,2,0,no,no,no,yes,yes,yes,yes,no,4,5,1,1,3,5,2,15,15,16,mother,1,2,0,no,no,no,yes,yes,no,4,5,1,1,3,5,0,12,13,14
GP,M,15,U,GT3,T,4,4,services,services,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,1,1,1,5,0,17,16,17,mother,2,2,0,no,yes,no,yes,yes,no,4,3,1,1,1,5,2,15,15,15
GP,F,16,U,GT3,T,2,2,other,other,reputation,mother,1,4,0,no,no,yes,no,yes,yes,yes,yes,5,2,3,1,3,3,0,11,11,11,mother,1,4,0,no,no,no,no,yes,yes,5,2,3,1,3,3,1,13,13,13
GP,M,16,U,LE3,A,4,4,teacher,health,reputation,mother,1,2,0,no,yes,no,no,yes,yes,no,no,4,1,3,3,5,5,18,8,6,7,mother,1,2,0,no,yes,no,no,yes,no,4,1,3,3,5,5,6,9,9,10
GP,M,15,U,GT3,T,4,4,teacher,health,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,no,no,3,2,2,1,1,5,4,14,15,15,mother,1,2,0,no,yes,no,yes,yes,no,3,2,2,1,1,5,8,15,15,16
GP,M,15,U,GT3,T,4,4,health,services,home,mother,1,2,0,no,yes,yes,no,no,yes,yes,no,5,4,2,3,4,5,0,9,11,12,mother,1,2,0,no,yes,yes,no,yes,no,5,4,2,3,4,5,0,10,11,11
GP,F,15,R,GT3,T,1,1,other,other,reputation,mother,1,2,2,yes,yes,no,no,no,yes,yes,yes,3,3,4,2,4,5,2,8,6,5,mother,1,2,0,yes,yes,no,no,yes,yes,3,3,4,2,4,5,2,13,11,11
GP,F,17,U,GT3,T,2,2,other,other,course,mother,1,2,0,no,yes,no,no,yes,yes,no,yes,4,2,2,1,1,3,12,11,9,9,mother,1,2,0,no,yes,no,no,yes,yes,4,2,2,1,1,3,4,14,13,13
GP,F,17,U,GT3,T,4,2,other,other,reputation,mother,2,3,0,no,yes,yes,no,yes,yes,yes,no,4,3,3,1,1,3,0,15,12,14,mother,2,3,0,no,yes,no,no,yes,no,4,3,3,1,1,3,0,16,16,16
GP,M,16,U,GT3,T,4,4,health,other,course,mother,1,1,0,no,yes,no,yes,yes,yes,yes,no,3,4,4,1,4,5,18,14,11,13,mother,1,1,0,no,yes,no,yes,yes,no,3,4,4,1,4,5,4,12,13,13
GP,M,18,U,LE3,T,4,3,teacher,services,course,mother,2,1,0,no,no,yes,yes,yes,yes,yes,no,4,2,3,1,2,1,8,10,11,10,mother,2,1,0,no,no,no,yes,yes,no,4,2,3,1,2,1,0,10,10,10
GP,F,16,U,GT3,T,1,1,at_home,other,home,mother,2,1,0,no,yes,yes,no,yes,yes,no,no,4,3,2,1,4,5,6,9,9,10,mother,2,1,0,no,yes,no,no,yes,no,4,3,2,1,4,5,2,12,13,13
GP,M,16,U,GT3,T,3,1,other,other,reputation,mother,1,1,0,no,no,no,yes,yes,yes,no,no,5,3,2,2,2,5,2,12,12,14,mother,1,1,0,no,no,no,yes,yes,no,5,3,2,2,2,5,0,13,13,14
GP,M,16,U,LE3,T,4,3,services,other,reputation,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,5,4,2,1,2,5,10,15,15,15,mother,1,2,0,no,yes,no,yes,yes,no,5,4,2,1,2,5,6,12,12,13
GP,F,16,U,GT3,T,2,2,services,other,reputation,mother,2,2,0,no,no,yes,yes,no,yes,yes,no,3,4,4,1,4,5,2,13,13,11,mother,2,2,0,no,no,no,yes,yes,no,3,4,4,1,4,5,0,13,12,14
GP,F,15,U,LE3,A,4,3,other,other,course,mother,1,2,0,yes,yes,yes,yes,yes,yes,yes,yes,5,2,2,1,1,5,8,8,8,6,mother,1,2,0,yes,yes,yes,yes,yes,yes,5,2,2,1,1,5,4,10,11,11
GP,M,16,U,GT3,T,2,1,other,other,course,mother,3,1,0,no,no,no,no,yes,yes,yes,no,4,3,3,1,1,4,6,18,18,18,mother,3,1,0,no,no,no,no,yes,no,4,3,3,1,1,4,7,15,16,16
GP,M,15,U,GT3,T,4,0,teacher,other,course,mother,2,4,0,no,no,no,yes,yes,yes,yes,no,3,4,3,1,1,1,8,11,11,10,mother,2,4,0,no,no,no,yes,yes,no,3,4,3,1,1,1,0,12,11,11
GP,F,17,U,LE3,T,2,2,services,services,course,father,1,4,0,no,no,yes,yes,yes,yes,yes,yes,3,4,1,1,1,2,0,10,9,0,father,1,4,0,no,no,no,yes,yes,yes,3,4,1,1,1,2,2,10,11,12
GP,F,19,U,GT3,T,4,4,health,other,reputation,other,2,2,0,no,yes,yes,yes,yes,yes,yes,no,2,3,4,2,3,2,0,10,9,0,other,2,2,0,no,yes,no,yes,yes,no,2,3,4,2,3,2,2,14,13,13
GP,M,18,U,GT3,T,2,2,other,other,home,mother,2,2,0,no,yes,yes,no,yes,yes,yes,no,3,3,3,5,5,4,0,12,13,13,mother,2,2,3,no,yes,yes,no,yes,no,3,3,3,5,5,4,9,10,9,10
MS,F,18,U,LE3,T,1,1,at_home,services,course,father,2,3,0,no,no,no,no,yes,yes,yes,no,5,3,2,1,1,4,0,18,16,16,father,2,3,0,no,no,no,no,yes,no,5,3,2,1,1,4,0,19,17,18
GP,M,15,U,GT3,T,2,2,services,services,home,father,1,4,0,no,yes,yes,yes,yes,yes,yes,no,5,5,4,1,2,5,6,16,14,15,father,1,4,0,no,yes,no,yes,yes,no,5,5,4,1,2,5,6,14,13,13
MS,F,18,U,GT3,T,1,1,other,other,course,mother,2,2,1,no,no,no,yes,yes,yes,no,no,1,1,1,1,1,5,0,6,5,0,mother,3,2,2,no,no,no,yes,yes,yes,3,4,4,2,2,5,3,7,8,7
GP,F,15,U,GT3,T,4,2,health,services,home,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,yes,3,2,2,1,1,5,2,15,14,15,mother,1,3,0,no,yes,no,yes,yes,yes,3,2,2,1,1,5,0,14,14,14
GP,M,17,U,GT3,T,3,2,services,services,course,mother,1,1,3,no,yes,no,yes,yes,yes,yes,no,5,5,5,2,4,5,16,6,5,5,mother,1,1,3,no,yes,yes,yes,yes,no,5,5,5,2,4,5,2,8,8,7
GP,F,15,U,GT3,T,4,4,teacher,teacher,course,mother,2,1,0,no,no,no,yes,yes,yes,yes,no,4,3,2,1,1,5,0,16,16,15,mother,2,1,0,no,no,no,yes,yes,no,4,3,2,1,1,5,6,13,14,14
GP,F,15,U,GT3,T,3,2,services,other,home,mother,2,2,0,yes,yes,yes,no,yes,yes,yes,no,4,3,5,1,1,2,26,7,6,6,mother,2,2,0,yes,yes,no,no,yes,no,4,3,5,1,1,2,16,11,10,10
GP,F,16,U,GT3,T,4,2,health,services,home,father,1,2,0,no,no,yes,no,yes,yes,yes,yes,4,2,3,1,1,3,0,14,15,16,father,1,2,0,no,no,no,no,yes,yes,4,2,3,1,1,3,0,17,17,18
GP,F,16,U,GT3,T,4,3,teacher,health,home,mother,1,3,0,yes,yes,yes,yes,yes,yes,yes,no,3,4,4,2,4,4,2,10,9,9,mother,1,3,0,yes,yes,no,yes,yes,no,3,4,4,2,4,4,0,14,13,13
GP,M,17,R,GT3,T,2,2,other,other,course,father,2,2,0,no,yes,yes,yes,yes,yes,yes,no,4,5,2,1,1,1,4,11,11,11,father,2,2,0,no,yes,no,yes,yes,no,4,5,2,1,1,1,0,12,13,13
GP,M,15,U,LE3,T,2,2,services,services,home,mother,2,2,0,no,no,yes,yes,yes,yes,yes,no,5,3,3,1,3,4,4,15,15,15,mother,2,2,0,no,no,yes,yes,yes,no,5,3,3,1,3,4,2,13,12,13
GP,M,17,R,LE3,T,1,1,other,services,course,mother,4,2,3,no,no,no,yes,yes,no,no,yes,5,3,5,1,5,5,0,5,8,7,mother,4,2,0,no,no,no,yes,no,yes,5,3,5,1,5,5,0,8,8,8
GP,M,17,R,GT3,T,2,2,services,other,course,mother,4,1,0,no,yes,no,no,yes,yes,yes,no,4,4,5,5,5,4,8,11,10,10,mother,4,1,0,no,yes,no,no,yes,no,4,4,5,5,5,4,2,11,10,10
GP,F,17,U,GT3,T,2,3,at_home,other,home,father,2,1,0,no,yes,yes,no,yes,yes,no,no,3,3,3,1,4,3,3,7,7,8,father,2,1,0,no,yes,no,no,yes,no,3,3,3,1,4,3,4,12,13,13
GP,F,16,U,GT3,T,4,2,teacher,services,home,mother,2,2,0,no,yes,yes,yes,yes,yes,yes,no,5,3,3,1,1,1,0,11,10,10,mother,2,2,0,no,yes,no,yes,yes,no,5,3,3,1,1,1,2,13,14,14
GP,F,17,U,LE3,T,4,3,health,other,reputation,father,1,2,0,no,no,no,yes,yes,yes,yes,yes,3,2,3,1,2,3,14,13,13,14,father,1,2,0,no,no,no,yes,yes,yes,3,2,3,1,2,3,0,14,12,12
MS,M,17,U,GT3,T,2,3,other,services,home,father,2,2,0,no,no,no,yes,yes,yes,yes,no,4,4,3,1,1,3,2,11,11,10,father,2,2,0,no,no,no,yes,yes,no,4,4,3,1,1,3,4,14,15,16
GP,F,18,U,GT3,T,2,2,at_home,services,home,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,yes,4,3,3,1,1,3,0,9,10,0,mother,1,3,0,no,yes,no,yes,yes,yes,4,3,3,1,1,3,0,11,12,13
GP,M,16,U,GT3,T,3,3,at_home,other,reputation,other,3,2,0,yes,yes,no,no,no,yes,yes,no,5,3,3,1,3,2,6,7,10,10,other,3,2,1,yes,yes,no,no,yes,no,5,3,3,1,3,2,4,9,11,10
MS,M,18,R,GT3,T,1,3,at_home,other,course,mother,2,2,0,no,yes,yes,no,yes,yes,no,no,3,3,4,2,4,3,4,10,10,10,mother,2,2,0,no,yes,yes,no,yes,no,3,3,4,2,4,3,0,8,10,9
GP,F,18,U,LE3,T,3,3,services,services,home,mother,1,4,0,no,yes,no,no,yes,yes,yes,no,5,3,3,1,1,1,7,16,15,17,mother,1,4,0,no,yes,no,no,yes,no,5,3,3,1,1,1,4,14,14,15
GP,F,17,U,GT3,T,1,1,other,other,course,mother,1,2,0,no,yes,yes,no,no,yes,no,no,4,4,4,1,3,1,4,9,9,10,mother,1,2,0,no,yes,no,no,yes,no,4,4,4,1,3,1,0,14,15,15
GP,M,15,U,GT3,T,4,3,teacher,other,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,3,3,2,3,5,6,9,9,10,mother,1,2,0,no,yes,no,yes,yes,no,4,3,3,2,3,5,0,11,11,11
GP,F,18,U,GT3,T,1,1,other,other,home,mother,2,2,0,yes,no,no,yes,yes,yes,yes,no,5,4,4,1,1,4,4,8,9,10,mother,2,3,0,no,no,no,yes,yes,no,4,5,5,1,2,2,0,14,14,14
GP,M,18,U,LE3,T,3,4,services,other,home,mother,1,2,0,no,no,no,yes,yes,yes,yes,yes,4,3,3,1,3,5,11,16,15,15,mother,1,2,0,no,no,no,yes,yes,yes,4,3,3,1,3,5,6,16,16,17
GP,F,16,U,GT3,T,4,4,services,services,reputation,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,no,3,2,3,1,2,2,6,13,14,14,mother,1,3,0,no,yes,no,yes,yes,no,3,2,3,1,2,2,10,13,13,14
GP,M,15,U,GT3,A,4,4,other,services,reputation,mother,1,4,0,no,yes,no,yes,no,yes,yes,yes,1,3,3,5,5,3,4,13,13,12,mother,1,4,0,no,yes,no,yes,yes,yes,1,3,3,5,5,3,0,11,12,12
GP,M,22,U,GT3,T,3,1,services,services,other,mother,1,1,3,no,no,no,no,no,no,yes,yes,5,4,5,5,5,1,16,6,8,8,mother,1,1,3,no,no,no,no,no,yes,5,4,5,5,5,1,12,7,8,5
GP,F,17,U,GT3,A,4,4,other,teacher,home,mother,2,2,0,yes,yes,no,no,yes,yes,no,no,4,1,4,1,1,1,6,6,5,6,mother,2,2,0,yes,yes,no,no,yes,no,4,1,4,1,1,1,2,10,13,13
GP,M,16,U,LE3,T,4,3,health,other,home,father,1,1,0,no,no,yes,yes,yes,yes,yes,no,3,1,3,1,3,5,4,8,10,10,father,1,1,0,no,no,no,yes,yes,no,3,1,3,1,3,5,6,12,12,12
GP,M,16,R,GT3,T,2,1,other,other,course,mother,2,1,0,no,no,no,yes,no,yes,no,no,3,3,2,1,3,3,0,8,9,8,mother,2,1,0,no,no,no,yes,yes,no,3,3,2,1,3,3,2,14,13,12
GP,F,18,U,GT3,T,3,2,other,services,other,mother,1,3,0,no,no,no,no,yes,yes,yes,yes,5,4,3,2,3,1,7,13,13,14,mother,1,3,0,no,no,no,no,yes,yes,5,4,3,2,3,1,4,14,16,17
GP,F,17,R,GT3,A,3,2,other,other,home,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,3,3,2,3,2,4,9,10,10,mother,1,2,0,no,yes,no,no,yes,no,4,3,3,2,3,2,0,14,14,16
GP,M,16,U,GT3,T,4,4,services,services,other,mother,1,1,0,yes,yes,yes,yes,yes,yes,yes,no,4,5,5,5,5,4,14,7,7,5,mother,1,1,0,yes,yes,no,yes,yes,no,4,5,5,5,5,4,12,9,9,8
